year,cap_round,college_code,college_name,branch_code,branch_name,category,gender_quota,seat_type,stage,closing_merit_no,closing_percentile
2024,1,01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,OPEN,General,State,I,34240,88.5013511
2024,1,01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,SC,General,State,I,62739,77.8445199
2024,1,01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,ST,General,State,I,91124,65.8812284
2024,1,01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,VJ,General,State,I,54224,81.2928705
2024,1,01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,NT1,General,State,I,34281,88.4426131
2024,1,01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,NT2,General,State,I,41658,85.7455441
2024,1,01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,NT3,General,State,I,35923,87.8945473
2024,1,01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,OBC,General,State,I,42649,85.3822102
2024,1,01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,SEBC,General,State,I,69130,75.3516004
2024,1,01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,OPEN,Ladies,State,I,35071,88.1228442
2024,1,01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,SC,Ladies,State,I,47557,83.639399
2024,1,01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,ST,Ladies,State,I,89332,66.8505265
2024,1,01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,VJ,Ladies,State,I,54046,81.3738935
2024,1,01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,NT2,Ladies,State,I,80230,70.8722936
2024,1,01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,OBC,Ladies,State,I,47396,83.6467428
2024,1,01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,SEBC,Ladies,State,I,112136,55.2318816
2024,1,01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,OPEN,PWD,State,I,115494,53.7694785
2024,1,01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,OBC,PWD,State,I,153595,27.6622718
2024,1,01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,OPEN,Defence,State,I,88930,67.0458361
2024,1,01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,OBC,Defence,State,I,124882,47.9842799
2024,1,01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,OPEN,TFWS,State,I,41891,85.5352459
2024,1,01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,SEBC,Defence,State,I,155782,25.6482713
2024,1,01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,EWS,General,State,I,120638,50.6340761
2024,1,01002,"Government College of Engineering, Amravati",0100224210,Computer Science and Engineering,OPEN,General,State,I,7872,97.3911937
2024,1,01002,"Government College of Engineering, Amravati",0100224210,Computer Science and Engineering,SC,General,State,I,17571,94.1713006
2024,1,01002,"Government College of Engineering, Amravati",0100224210,Computer Science and Engineering,ST,General,State,I,56026,80.5896708
2024,1,01002,"Government College of Engineering, Amravati",0100224210,Computer Science and Engineering,VJ,General,State,I,17052,94.3331807
2024,1,01002,"Government College of Engineering, Amravati",0100224210,Computer Science and Engineering,NT1,General,State,I,16746,94.4433332
2024,1,01002,"Government College of Engineering, Amravati",0100224210,Computer Science and Engineering,NT2,General,State,I,16443,94.5541467
2024,1,01002,"Government College of Engineering, Amravati",0100224210,Computer Science and Engineering,OBC,General,State,I,8931,97.0436452
2024,1,01002,"Government College of Engineering, Amravati",0100224210,Computer Science and Engineering,SEBC,General,State,I,15942,94.6903844
2024,1,01002,"Government College of Engineering, Amravati",0100224210,Computer Science and Engineering,OPEN,Ladies,State,I,9308,96.9066937
2024,1,01002,"Government College of Engineering, Amravati",0100224210,Computer Science and Engineering,SC,Ladies,State,I,15485,94.8376426
2024,1,01002,"Government College of Engineering, Amravati",0100224210,Computer Science and Engineering,ST,Ladies,State,I,45930,84.2430574
2024,1,01002,"Government College of Engineering, Amravati",0100224210,Computer Science and Engineering,NT1,Ladies,State,I,20457,93.2139295
2024,1,01002,"Government College of Engineering, Amravati",0100224210,Computer Science and Engineering,NT3,Ladies,State,I,23863,92.0214155
2024,1,01002,"Government College of Engineering, Amravati",0100224210,Computer Science and Engineering,OBC,Ladies,State,I,9823,96.7545639
2024,1,01002,"Government College of Engineering, Amravati",0100224210,Computer Science and Engineering,SEBC,Ladies,State,I,15409,94.8397684
2024,1,01002,"Government College of Engineering, Amravati",0100224210,Computer Science and Engineering,OPEN,PWD,State,I,33711,88.6037289
2024,1,01002,"Government College of Engineering, Amravati",0100224210,Computer Science and Engineering,OBC,PWD,State,I,49777,82.7778711
